location,quarter,new_vaccinations_smoothed,new_cases_smoothed,total_boosters
Afghanistan,2023Q1,801803.0,135.143,760745.0
Africa,2021Q4,118880575.0,1146409.574,863272.0
Africa,2022Q1,137674040.0,2204600.719,17868465.0
Africa,2022Q2,109235190.0,578629.146,11095815.0
Africa,2022Q3,92584344.0,377599.142,21152093.0
Africa,2022Q4,99360962.0,125862.57400000001,12974669.0
Africa,2023Q1,28914298.0,61358.86,12113892.0
Albania,2021Q4,203908.0,12169.574,141189.0
Albania,2022Q1,123866.0,12629.426,115767.0
Albania,2022Q2,22265.0,714.716,53869.0
Albania,2022Q3,5540.0,4025.714,26230.0
Albania,2022Q4,3059.0,83.857,13935.0
Albania,2023Q1,1781.0,49.143,6051.0
Algeria,2021Q4,138775.0,464.14300000000003,12214.0
Algeria,2022Q1,31371.0,807.858,116685.0
Algeria,2022Q2,206290.0,9.0,0.0
Algeria,2022Q3,628.0,35.857,0.0
Andorra,2021Q4,1436.0,373.0,239.0
Andorra,2022Q1,913.0,617.001,16231.0
Andorra,2022Q2,102.0,309.145,996.0
Andorra,2022Q3,45.0,151.285,744.0
Andorra,2022Q4,59.0,46.714,80.0
Andorra,2023Q1,12.0,2.714,0.0
Angola,2022Q1,212758.0,60.001,168356.0
Angola,2022Q2,237233.0,130.428,404003.0
Angola,2022Q3,193064.0,146.572,306885.0
Angola,2022Q4,135852.0,202.143,329970.0
Angola,2023Q1,79316.0,11.142,210823.0
Anguilla,2021Q4,193.0,28.715,319.0
Anguilla,2022Q1,258.0,117.855,911.0
Anguilla,2022Q2,95.0,57.287,300.0
Anguilla,2022Q3,2.0,18.286,11.0
Anguilla,2022Q4,3.0,0.143,0.0
Anguilla,2023Q1,11.0,0.0,306.0
Antigua and Barbuda,2022Q3,201.0,4.857,0.0
Argentina,2020Q4,31555.0,16143.714,0.0
Argentina,2021Q1,3888465.0,761474.426,97.0
Argentina,2021Q2,16933161.0,2103224.86,321.0
Argentina,2021Q3,31459428.0,811270.573,2062.0
Argentina,2021Q4,25022238.0,329482.71499999997,6178692.0
Argentina,2022Q1,19736203.0,3371241.713,13267768.0
Argentina,2022Q2,9138886.0,338399.136,8365126.0
Argentina,2022Q3,3555837.0,347944.868,2959893.0
Argentina,2022Q4,2945678.0,183359.298,2899862.0
Argentina,2023Q1,2348507.0,153818.0,2049456.0
Armenia,2021Q4,11444.0,120.714,0.0
Armenia,2022Q1,51625.0,7938.428,33191.0
Armenia,2022Q2,3139.0,34.856,876.0
Asia,2021Q1,146354441.0,3332840.716,1.0
Asia,2021Q2,1592629922.0,27449334.286,298898.0
Asia,2021Q3,2358486218.0,20010358.142,18334405.0
Asia,2021Q4,1983865175.0,9181364.717,188363943.0
Asia,2022Q1,1536125917.0,52763695.712,874608390.0
Asia,2022Q2,540991860.0,17985590.14,253714228.0
Asia,2022Q3,453864089.0,28054277.142,302337596.0
Asia,2022Q4,202777801.0,80756020.572,96719617.0
Asia,2023Q1,84798363.0,30735480.284,39718220.0
Australia,2021Q4,13225570.0,183955.434,2380205.0
Australia,2022Q1,13747146.0,3761422.715,10381937.0
Australia,2022Q2,3956424.0,3874025.142,3306257.0
Australia,2022Q3,2607997.0,1859300.857,2864514.0
Australia,2022Q4,60078.0,97473.571,398272.0
Australia,2023Q1,11990.0,37459.143,69120.0
Austria,2021Q1,202925.0,17838.144,91.0
Austria,2021Q2,863492.0,17509.858,970.0
Austria,2021Q3,478903.0,11656.286,51825.0
Austria,2021Q4,806138.0,77523.144,3904959.0
Austria,2022Q1,229931.0,340465.859,902125.0
Austria,2022Q2,44220.0,104820.145,139100.0
Austria,2022Q3,112890.0,104702.286,90166.0
Austria,2022Q4,137795.0,83162.85800000001,44848.0
Austria,2023Q1,11250.0,26953.57,3759.0
Azerbaijan,2021Q4,1436239.0,74598.145,1015138.0
Azerbaijan,2022Q1,1514651.0,121174.003,1578337.0
Azerbaijan,2022Q2,211824.0,831.0,200393.0
Azerbaijan,2022Q3,57510.0,10830.43,52628.0
Bahamas,2021Q4,994.0,38.429,0.0
Bahamas,2022Q1,3533.0,968.572,13282.0
Bahamas,2022Q2,355.0,22.143,671.0
Bahamas,2022Q3,1987.0,111.0,3888.0
Bahamas,2022Q4,218.0,7.857,1113.0
Bahrain,2021Q4,109941.0,1932.999,76636.0
Bahrain,2022Q1,167745.0,134066.572,124461.0
Bahrain,2022Q2,12725.0,35902.716,16691.0
Bahrain,2022Q3,16230.0,53903.713,11703.0
Bahrain,2022Q4,4862.0,16107.857,4199.0
Bangladesh,2022Q1,47147757.0,89759.145,9276142.0
Bangladesh,2022Q2,14294730.0,5718.716,19088940.0
Bangladesh,2022Q3,8360701.0,20721.429,16090420.0
Bangladesh,2022Q4,9223073.0,3059.286,11117107.0
Bangladesh,2023Q1,7695511.0,294.714,6802378.0
Barbados,2022Q4,5736.0,271.71500000000003,664.0
Barbados,2023Q1,20.0,39.571,620.0
Belarus,2021Q4,77113.0,1601.857,0.0
Belarus,2022Q1,147740.0,4693.143,358658.0
Belarus,2022Q2,158650.0,2492.856,159618.0
Belarus,2022Q3,153598.0,0.0,2178163.0
Belarus,2022Q4,95065.0,0.0,1198025.0
Belarus,2023Q1,78712.0,0.0,12062.0
Belgium,2021Q3,372072.0,43790.143,139159.0
Belgium,2021Q4,4780952.0,834226.002,4231862.0
Belgium,2022Q1,3702936.0,1745553.149,2952634.0
Belgium,2022Q2,407522.0,415951.861,373048.0
Belgium,2022Q3,1629744.0,310550.284,1931820.0
Belgium,2022Q4,2272037.0,139728.711,1899700.0
Belgium,2023Q1,37031.0,39998.43,34258.0
Belize,2022Q1,2468.0,632.572,8170.0
Belize,2022Q2,3154.0,804.713,6137.0
Belize,2022Q3,1254.0,718.7139999999999,1040.0
Belize,2022Q4,196.0,36.144,128.0
Belize,2023Q1,58.0,128.571,212.0
Bermuda,2021Q4,2113.0,33.286,14755.0
Bermuda,2022Q1,1902.0,807.571,9841.0
Bermuda,2022Q2,177.0,118.857,2470.0
Bermuda,2022Q3,9.0,34.143,0.0
Bhutan,2022Q1,13586.0,1213.715,175608.0
Bhutan,2022Q2,15031.0,3468.285,12605.0
Bhutan,2022Q3,8842.0,242.428,56398.0
Bhutan,2022Q4,5119.0,58.714,5945.0
Bolivia,2021Q4,2658716.0,76861.854,536575.0
Bolivia,2022Q1,3450307.0,321211.569,681541.0
Bolivia,2022Q2,860837.0,19117.861,475826.0
Bolivia,2022Q3,707067.0,187458.711,433829.0
Bolivia,2022Q4,29028.0,450.71299999999997,9002.0
Bosnia and Herzegovina,2021Q4,4315.0,616.429,0.0
Bosnia and Herzegovina,2022Q1,4315.0,2349.857,0.0
Botswana,2022Q1,22859.0,6523.0,157411.0
Botswana,2022Q2,95961.0,1507.857,79541.0
Botswana,2022Q3,5128.0,64.857,14642.0
Botswana,2022Q4,31270.0,151.857,32470.0
Botswana,2023Q1,1444.0,60.286,2228.0
Brazil,2021Q3,42221936.0,610775.0,1095018.0
Brazil,2021Q4,93769120.0,894917.282,25268779.0
Brazil,2022Q1,80575965.0,7454126.0,51964701.0
Brazil,2022Q2,33716463.0,1928567.285,27159256.0
Brazil,2022Q3,12310579.0,1391752.429,11718923.0
Brazil,2022Q4,5037931.0,1105364.713,3817543.0
Brazil,2023Q1,3437044.0,555195.0,3485774.0
British Virgin Islands,2022Q1,265.0,0.0,0.0
British Virgin Islands,2022Q2,67.0,91.0,0.0
British Virgin Islands,2022Q3,18.0,50.0,0.0
Brunei,2022Q1,5144.0,3594.571,142044.0
Brunei,2022Q2,11266.0,2425.857,42669.0
Brunei,2022Q3,2907.0,907.285,6902.0
Brunei,2022Q4,496.0,2047.571,1435.0
Brunei,2023Q1,236.0,330.286,437.0
Bulgaria,2021Q4,226625.0,34206.284,262766.0
Bulgaria,2022Q1,665049.0,387756.853,448067.0
Bulgaria,2022Q2,48058.0,28059.57,41463.0
Bulgaria,2022Q3,2443.0,1276.714,51.0
Burundi,2022Q2,90.0,37.572,2.0
Burundi,2022Q3,477.0,727.2860000000001,32.0
Burundi,2022Q4,973.0,180.857,240.0
Burundi,2023Q1,365.0,47.0,8.0
Cambodia,2021Q3,11032553.0,30063.0,881904.0
Cambodia,2021Q4,6264722.0,11244.999,2689856.0
Cambodia,2022Q1,4358767.0,7264.143,4434336.0
Cambodia,2022Q2,251051.0,22.0,1339211.0
Cambodia,2022Q3,8440.0,140.714,654825.0
Cambodia,2022Q4,655806.0,65.999,212008.0
Cambodia,2023Q1,116043.0,19.0,157850.0
Cameroon,2022Q1,23800.0,18.571,0.0
Cameroon,2022Q2,19539.0,32.856,1060.0
Cameroon,2022Q3,855.0,16.142,0.0
Cameroon,2022Q4,267561.0,32.858000000000004,393555.0
Cameroon,2023Q1,13402.0,24.429000000000002,53265.0
Canada,2021Q1,4107752.0,159351.571,24.0
Canada,2021Q2,30746222.0,455408.426,1282.0
Canada,2021Q3,20134962.0,191005.428,188287.0
Canada,2021Q4,11784666.0,410599.146,7452117.0
Canada,2022Q1,14222761.0,1430585.715,10659588.0
Canada,2022Q2,4138777.0,477531.572,3594166.0
Canada,2022Q3,3402841.0,294377.277,3158694.0
Canada,2022Q4,6020919.0,224471.842,4687426.0
Canada,2023Q1,658775.0,67937.426,473209.0
Cape Verde,2022Q2,1217.0,169.572,147.0
Cape Verde,2022Q3,5619.0,123.714,515.0
Cayman Islands,2022Q1,62.0,38.571,0.0
Cayman Islands,2022Q2,531.0,715.2860000000001,787.0
Cayman Islands,2022Q3,270.0,412.288,261.0
Cayman Islands,2022Q4,28.0,30.143,0.0
Cayman Islands,2023Q1,20.0,0.0,0.0
Central African Republic,2022Q3,25689.0,16.571,201982.0
Central African Republic,2022Q4,62268.0,32.713,0.0
Central African Republic,2023Q1,16017.0,0.9999999999999999,12726.0
Chad,2023Q1,74633.0,3.715,9501.0
Chile,2021Q3,5592689.0,31089.003,3351197.0
Chile,2021Q4,11956490.0,149498.57,7611385.0
Chile,2022Q1,6818999.0,1646387.716,5071039.0
Chile,2022Q2,8590028.0,507952.855,8290796.0
Chile,2022Q3,3116684.0,654534.286,2700358.0
Chile,2022Q4,254807.0,403851.571,204428.0
Chile,2023Q1,62257.0,99559.999,54315.0
China,2021Q4,39959142.0,391.572,82607000.0
China,2022Q1,37424001.0,66525.857,363936000.0
China,2022Q2,21599716.0,572244.857,84332000.0
China,2022Q3,2534143.0,189469.142,13851000.0
China,2022Q4,1288858.0,489640.001,7886000.0
China,2023Q1,1425143.0,875927.0,1058000.0
Colombia,2021Q4,1728953.0,21556.571,647271.0
Colombia,2022Q1,11484769.0,764080.425,7039938.0
Colombia,2022Q2,1258446.0,7646.571,2426064.0
Colombia,2022Q3,137132.0,11289.286,524630.0
Colombia,2022Q4,145911.0,540.001,406073.0
Colombia,2023Q1,31874.0,1873.428,61158.0
Cook Islands,2022Q2,1436.0,153.143,146.0
Cook Islands,2022Q4,109.0,0.0,3.0
Cook Islands,2023Q1,1.0,0.286,0.0
Costa Rica,2021Q4,201495.0,1878.286,288478.0
Costa Rica,2022Q1,344276.0,38036.285,1478586.0
Costa Rica,2022Q2,122458.0,6011.571,352651.0
Costa Rica,2022Q3,67562.0,12172.572,146226.0
Costa Rica,2022Q4,47093.0,3413.714,182633.0
Costa Rica,2023Q1,10840.0,1524.571,41142.0
Cote d'Ivoire,2022Q2,182437.0,53.285,39743.0
Cote d'Ivoire,2022Q3,226338.0,242.0,854942.0
Cote d'Ivoire,2022Q4,171418.0,21.715,788620.0
Cote d'Ivoire,2023Q1,68778.0,8.572,584653.0
Croatia,2022Q1,15170.0,5390.571,0.0
Cuba,2021Q4,994940.0,994.716,1282600.0
Cuba,2022Q1,4840270.0,114316.572,4077373.0
Cuba,2022Q2,2970255.0,15101.855,1083318.0
Cuba,2022Q3,2961168.0,4587.855,1175675.0
Cuba,2022Q4,572981.0,575.002,92903.0
Cuba,2023Q1,806091.0,562.716,31908.0
Curacao,2021Q4,3156.0,551.572,494.0
Curacao,2022Q1,30476.0,19619.284,22961.0
Curacao,2022Q2,5361.0,3257.715,5582.0
Curacao,2022Q3,1108.0,617.137,1066.0
Curacao,2022Q4,159.0,91.57000000000001,72.0
Cyprus,2021Q4,139483.0,10504.57,256157.0
Cyprus,2022Q1,91642.0,69805.573,112093.0
Cyprus,2022Q2,1414.0,8436.714,9569.0
Cyprus,2022Q3,257.0,2955.143,1776.0
Cyprus,2022Q4,35.0,494.286,0.0
Czechia,2021Q2,3340856.0,9777.289,2.0
Czechia,2021Q3,3807263.0,23439.714,6022.0
Czechia,2021Q4,3530798.0,787882.43,2401385.0
Czechia,2022Q1,2133609.0,1552261.142,1687588.0
Czechia,2022Q2,174874.0,161715.995,133044.0
Czechia,2022Q3,388071.0,234732.568,392240.0
Czechia,2022Q4,534773.0,130707.289,503362.0
Czechia,2023Q1,30545.0,40881.002,28618.0
Denmark,2021Q1,549476.0,23729.715,39.0
Denmark,2021Q2,3955641.0,65388.717,205.0
Denmark,2021Q3,3739635.0,64329.852,55576.0
Denmark,2021Q4,3111069.0,371298.852,2655712.0
Denmark,2022Q1,1263910.0,2311562.283,840677.0
Denmark,2022Q2,58504.0,121443.994,45080.0
Denmark,2022Q3,22155.0,130522.28199999999,16300.0
Denmark,2022Q4,26627.0,90435.287,22807.0
Denmark,2023Q1,3859.0,19679.711,2523.0
Dominica,2022Q1,521.0,13.429,0.0
Dominica,2022Q2,677.0,504.715,0.0
Dominica,2022Q3,16.0,127.857,0.0
Dominica,2022Q4,1.0,1.857,0.0
Dominican Republic,2021Q3,4079719.0,33604.145,937249.0
Dominican Republic,2021Q4,2172264.0,55572.141,495920.0
Dominican Republic,2022Q1,1279495.0,153154.287,848795.0
Dominican Republic,2022Q2,247398.0,24349.139,79825.0
Dominican Republic,2022Q3,233231.0,38180.286,83446.0
Dominican Republic,2022Q4,113656.0,8896.142,46919.0
Dominican Republic,2023Q1,18746.0,532.571,22143.0
Ecuador,2021Q4,5995289.0,29612.861,1121750.0
Ecuador,2022Q1,5822685.0,315279.715,4159689.0
Ecuador,2022Q2,2456420.0,42965.573,1859048.0
Ecuador,2022Q3,1392988.0,81547.86,1272045.0
Ecuador,2022Q4,104217.0,4641.141,435448.0
Ecuador,2023Q1,37218.0,3450.571,173842.0
Egypt,2022Q1,1614345.0,7715.713,1170956.0
Egypt,2022Q2,1589988.0,746.999,3386626.0
Egypt,2022Q3,1060972.0,167.572,3022298.0
Egypt,2022Q4,149163.0,11.142,448663.0
Egypt,2023Q1,414156.0,18.143,2520233.0
El Salvador,2021Q3,143257.0,1848.286,56125.0
El Salvador,2021Q4,994358.0,7211.7119999999995,902157.0
El Salvador,2022Q1,144150.0,5636.713,554972.0
El Salvador,2022Q2,68141.0,330.286,382031.0
El Salvador,2022Q3,11604.0,0.0,110214.0
El Salvador,2022Q4,2370.0,0.0,0.0
Equatorial Guinea,2022Q2,326.0,9.143,1376.0
Equatorial Guinea,2022Q3,149.0,4.714,0.0
Estonia,2021Q1,253022.0,74875.435,2289.0
Estonia,2021Q2,677385.0,27543.145,12019.0
Estonia,2021Q3,429293.0,23343.289,17228.0
Estonia,2021Q4,434047.0,84249.714,299296.0
Estonia,2022Q1,174482.0,316202.574,136300.0
Estonia,2022Q2,22681.0,27899.144,18401.0
Estonia,2022Q3,55721.0,19264.138,56558.0
Estonia,2022Q4,51470.0,9906.141,46955.0
Estonia,2023Q1,9312.0,3548.855,8599.0
Eswatini,2022Q1,500.0,17.0,0.0
Eswatini,2022Q2,0.0,37.857,0.0
Eswatini,2022Q3,10528.0,19.142,81187.0
Eswatini,2022Q4,0.0,7.714,0.0
Eswatini,2023Q1,2313.0,18.0,6868.0
Ethiopia,2022Q1,1526.0,24.286,0.0
Ethiopia,2022Q2,3148511.0,1668.5710000000001,1490303.0
Ethiopia,2022Q3,4576.0,66.429,0.0
Ethiopia,2023Q1,5741.0,30.429,0.0
Europe,2021Q1,119518064.0,15942719.001,37033.0
Europe,2021Q2,379181868.0,9026611.427,114988.0
Europe,2021Q3,299503232.0,10841114.71,5529885.0
Europe,2021Q4,298095010.0,26762512.858,173069556.0
Europe,2022Q1,163218647.0,91550799.285,104478163.0
Europe,2022Q2,34845662.0,25997114.716000002,17003452.0
Europe,2022Q3,33251071.0,23801416.427,30898514.0
Europe,2022Q4,39972992.0,15975819.431,21116409.0
Europe,2023Q1,6948916.0,3891927.716,3990481.0
European Union,2021Q1,71628343.0,10729086.574,36926.0
European Union,2021Q2,289336126.0,6552491.426,114608.0
European Union,2021Q3,206686261.0,4922364.859,3306318.0
European Union,2021Q4,174002586.0,16020811.714,127663205.0
European Union,2022Q1,123086718.0,69935737.715,89368549.0
European Union,2022Q2,19716436.0,23044831.858,13597443.0
European Union,2022Q3,19135022.0,19222607.995,23409442.0
European Union,2022Q4,30272402.0,13917778.425999999,17408668.0
European Union,2023Q1,4109019.0,2936704.435,2426958.0
Faeroe Islands,2021Q4,1158.0,268.286,2563.0
Faeroe Islands,2022Q1,3913.0,10696.0,6325.0
Fiji,2022Q2,24826.0,155.285,22785.0
Fiji,2022Q3,8513.0,396.999,23917.0
Fiji,2022Q4,1372.0,54.715,3499.0
Fiji,2023Q1,407.0,28.0,1061.0
Finland,2021Q3,43962.0,828.7139999999999,14871.0
Finland,2021Q4,407538.0,31294.857,1096468.0
Finland,2022Q1,1412508.0,371516.72,1649799.0
Finland,2022Q2,69486.0,35450.428,437769.0
Finland,2022Q3,83680.0,16568.858,630483.0
Finland,2022Q4,46697.0,23402.144,297075.0
Finland,2023Q1,7750.0,1778.714,47849.0
France,2021Q1,9958887.0,1371369.001,111.0
France,2021Q2,42561627.0,1339716.862,85554.0
France,2021Q3,40939189.0,1091113.859,1178539.0
France,2021Q4,27622813.0,2243450.707,21124043.0
France,2022Q1,19563225.0,15255863.141999999,14032949.0
France,2022Q2,3486837.0,5463694.711,3233161.0
France,2022Q3,4096998.0,4417735.572,3595629.0
France,2022Q4,3339175.0,3969482.426,3228149.0
France,2023Q1,967463.0,432856.002,857873.0
French Polynesia,2022Q2,12314.0,116.85600000000001,0.0
French Polynesia,2022Q3,1259.0,108.143,8475.0
French Polynesia,2022Q4,856.0,4.286,397.0
French Polynesia,2023Q1,73.0,0.0,0.0
Gabon,2022Q1,386.0,6.857,556.0
Gabon,2022Q2,1613.0,27.143,369.0
