location,iso_code,total_cases,total_deaths,total_vaccinations,code
Afghanistan,AFG,209602.0,7881.0,16248588.0,AFG
Africa,OWID_AFR,13063184.0,258779.0,775768598.0,OWID_AFR
Albania,ALB,333622.0,3600.0,3058102.0,ALB
Algeria,DZA,271522.0,6881.0,15267442.0,DZA
American Samoa,ASM,8320.0,34.0,0.0,ASM
Andorra,AND,47898.0,159.0,156766.0,AND
Angola,AGO,105298.0,1933.0,24593241.0,AGO
Anguilla,AIA,3904.0,12.0,24604.0,AIA
Antigua and Barbuda,ATG,9106.0,146.0,136512.0,ATG
Argentina,ARG,10044957.0,130472.0,115063375.0,ARG
Armenia,ARM,447778.0,8733.0,2150112.0,ARM
Aruba,ABW,44082.0,286.0,174466.0,ABW
Asia,OWID_ASI,295108722.0,1625842.0,8992185150.0,OWID_ASI
Australia,AUS,11380700.0,19447.0,63681652.0,AUS
Austria,AUT,5981084.0,22002.0,20428995.0,AUT
Azerbaijan,AZE,829011.0,10147.0,13857111.0,AZE
Bahamas,BHS,37491.0,833.0,364701.0,BHS
Bahrain,BHR,696614.0,1536.0,3476633.0,BHR
Bangladesh,BGD,2037947.0,29445.0,355356297.0,BGD
Barbados,BRB,106798.0,579.0,381633.0,BRB
Belarus,BLR,994037.0,7118.0,19047714.0,BLR
Belgium,BEL,4739365.0,33814.0,29624421.0,BEL
Belize,BLZ,70782.0,688.0,502306.0,BLZ
Benin,BEN,27999.0,163.0,4232541.0,BEN
Bermuda,BMU,18828.0,160.0,132042.0,BMU
Bhutan,BTN,62637.0,21.0,2011426.0,BTN
Bolivia,BOL,1194687.0,22367.0,14690530.0,BOL
Bonaire Sint Eustatius and Saba,BES,11811.0,41.0,35845.0,BES
Bosnia and Herzegovina,BIH,401914.0,16289.0,1924950.0,BIH
Botswana,BWA,329769.0,2795.0,3171667.0,BWA
Brazil,BRA,37085520.0,699310.0,486174541.0,BRA
British Virgin Islands,VGB,7305.0,64.0,41453.0,VGB
Brunei,BRN,280790.0,150.0,1289509.0,BRN
Bulgaria,BGR,1298013.0,38232.0,4609810.0,BGR
Burkina Faso,BFA,22056.0,396.0,5856003.0,BFA
Burundi,BDI,53661.0,15.0,35317.0,BDI
Cambodia,KHM,138720.0,3056.0,46290154.0,KHM
Cameroon,CMR,124605.0,1966.0,4274312.0,CMR
Canada,CAN,4609277.0,51624.0,96956502.0,CAN
Cape Verde,CPV,63245.0,413.0,859940.0,CPV
Cayman Islands,CYM,31472.0,37.0,150816.0,CYM
Central African Republic,CAF,15367.0,113.0,2535002.0,CAF
Chad,TCD,7682.0,194.0,6392512.0,TCD
Chile,CHL,5209152.0,64330.0,62688847.0,CHL
China,CHN,99185059.0,120576.0,3491077000.0,CHN
Colombia,COL,6360780.0,142639.0,90210929.0,COL
Comoros,COM,9048.0,161.0,835021.0,COM
Congo,COG,25110.0,388.0,833210.0,COG
Cook Islands,COK,7033.0,2.0,40854.0,COK
Costa Rica,CRI,1214651.0,9266.0,12778229.0,CRI
Cote d'Ivoire,CIV,88277.0,834.0,25263932.0,CIV
Croatia,HRV,1269687.0,18006.0,5360723.0,HRV
Cuba,CUB,1112667.0,8530.0,43723301.0,CUB
Curacao,CUW,45787.0,301.0,256029.0,CUW
Cyprus,CYP,652386.0,1335.0,1797542.0,CYP
Czechia,CZE,4623277.0,42528.0,18619986.0,CZE
Democratic Republic of Congo,COD,95814.0,1464.0,13518662.0,COD
Denmark,DNK,3405024.0,8316.0,13132864.0,DNK
Djibouti,DJI,15690.0,189.0,388484.0,DJI
Dominica,DMA,15760.0,74.0,67647.0,DMA
Dominican Republic,DOM,660848.0,4384.0,16243870.0,DOM
Ecuador,ECU,1057608.0,36015.0,39528510.0,ECU
Egypt,EGY,515792.0,24815.0,105493060.0,EGY
El Salvador,SLV,201785.0,4230.0,11289175.0,SLV
England,OWID_ENG,0.0,0.0,144779970.0,OWID_ENG
Equatorial Guinea,GNQ,17130.0,183.0,488738.0,GNQ
Eritrea,ERI,10189.0,103.0,0.0,ERI
Estonia,EST,615727.0,2949.0,2110386.0,EST
Eswatini,SWZ,74323.0,1425.0,834574.0,SWZ
Ethiopia,ETH,500169.0,7572.0,53514115.0,ETH
Europe,OWID_EUR,247725829.0,2027733.0,1377694941.0,OWID_EUR
European Union,OWID_EUN,183275885.0,1218146.0,938308394.0,OWID_EUN
Faeroe Islands,FRO,34658.0,28.0,103894.0,FRO
Falkland Islands,FLK,1923.0,0.0,4407.0,FLK
Fiji,FJI,68898.0,883.0,1554242.0,FJI
Finland,FIN,1463644.0,8967.0,13203328.0,FIN
France,FRA,39122892.0,162672.0,154355578.0,FRA
French Guiana,GUF,98041.0,413.0,0.0,GUF
French Polynesia,PYF,78077.0,649.0,502352.0,PYF
Gabon,GAB,48981.0,306.0,572672.0,GAB
Gambia,GMB,12598.0,372.0,1444492.0,GMB
Georgia,GEO,1830021.0,16986.0,2930677.0,GEO
Germany,DEU,38276190.0,169345.0,192157000.0,DEU
Ghana,GHA,171281.0,1462.0,22384226.0,GHA
Gibraltar,GIB,20462.0,111.0,132810.0,GIB
Greece,GRC,5910103.0,36372.0,22114648.0,GRC
Greenland,GRL,11971.0,21.0,79738.0,GRL
Grenada,GRD,19680.0,238.0,90507.0,GRD
Guadeloupe,GLP,201886.0,1010.0,0.0,GLP
Guam,GUM,50932.0,420.0,0.0,GUM
Guatemala,GTM,1238950.0,20182.0,20257676.0,GTM
Guernsey,GGY,35139.0,67.0,178525.0,GGY
Guinea,GIN,38280.0,467.0,10624849.0,GIN
Guinea-Bissau,GNB,8960.0,176.0,593508.0,GNB
Guyana,GUY,73090.0,1298.0,960133.0,GUY
Haiti,HTI,34202.0,860.0,515718.0,HTI
High income,OWID_HIC,417964986.0,2833498.0,2803780909.0,OWID_HIC
Honduras,HND,472308.0,11111.0,17101012.0,HND
Hong Kong,HKG,0.0,0.0,20709268.0,HKG
Hungary,HUN,2196774.0,48677.0,16701238.0,HUN
Iceland,ISL,209168.0,263.0,805469.0,ISL
India,IND,44691956.0,530789.0,2206445180.0,IND
Indonesia,IDN,6740031.0,160956.0,444303130.0,IDN
Iran,IRN,7575927.0,144993.0,157785811.0,IRN
Iraq,IRQ,2465545.0,25375.0,19557364.0,IRQ
Ireland,IRL,1704502.0,8708.0,11112766.0,IRL
Isle of Man,IMN,38008.0,116.0,189994.0,IMN
Israel,ISR,4806676.0,12341.0,18644988.0,ISR
Italy,ITA,25627473.0,188538.0,143819679.0,ITA
Jamaica,JAM,154416.0,3514.0,1519454.0,JAM
Japan,JPN,33336977.0,73273.0,382415648.0,JPN
Jersey,JEY,66391.0,161.0,266953.0,JEY
Jordan,JOR,1746997.0,14122.0,10057975.0,JOR
Kazakhstan,KAZ,1499793.0,19071.0,20918681.0,KAZ
Kenya,KEN,342943.0,5688.0,23359310.0,KEN
Kiribati,KIR,5014.0,18.0,219980.0,KIR
Kosovo,OWID_KOS,273402.0,3201.0,1837446.0,OWID_KOS
Kuwait,KWT,664402.0,2570.0,8259024.0,KWT
Kyrgyzstan,KGZ,206740.0,2991.0,3436235.0,KGZ
Laos,LAO,218023.0,758.0,11111066.0,LAO
Latvia,LVA,976402.0,6281.0,2895716.0,LVA
Lebanon,LBN,1233232.0,10847.0,5814699.0,LBN
Lesotho,LSO,34490.0,706.0,1329569.0,LSO
Liberia,LBR,8090.0,294.0,4460668.0,LBR
Libya,LBY,507201.0,6437.0,3739158.0,LBY
Liechtenstein,LIE,21454.0,87.0,74311.0,LIE
Lithuania,LTU,1309661.0,9606.0,4544919.0,LTU
Low income,OWID_LIC,2287803.0,47870.0,278945937.0,OWID_LIC
Lower middle income,OWID_LMC,96900218.0,1338597.0,4836649469.0,OWID_LMC
Luxembourg,LUX,318344.0,1222.0,1374375.0,LUX
Macao,MAC,0.0,0.0,1799278.0,MAC
Madagascar,MDG,67941.0,1423.0,2697574.0,MDG
Malawi,MWI,88613.0,2686.0,7159342.0,MWI
Malaysia,MYS,5045192.0,36967.0,72589621.0,MYS
Maldives,MDV,185744.0,311.0,951511.0,MDV
Mali,MLI,33067.0,743.0,4916568.0,MLI
Malta,MLT,117749.0,829.0,1380583.0,MLT
Marshall Islands,MHL,15649.0,17.0,0.0,MHL
Martinique,MTQ,229020.0,1092.0,0.0,MTQ
Mauritania,MRT,63439.0,997.0,4068530.0,MRT
Mauritius,MUS,296042.0,1044.0,2614332.0,MUS
Mayotte,MYT,42004.0,187.0,0.0,MYT
Mexico,MEX,7492112.0,333243.0,223158993.0,MEX
Micronesia (country),FSM,24195.0,63.0,0.0,FSM
Moldova,MDA,613886.0,12025.0,2278699.0,MDA
Monaco,MCO,16129.0,67.0,65140.0,MCO
Mongolia,MNG,1007907.0,2136.0,5492919.0,MNG
Montenegro,MNE,289061.0,2808.0,679171.0,MNE
Montserrat,MSR,1403.0,8.0,4619.0,MSR
Morocco,MAR,1272526.0,16296.0,55383525.0,MAR
Mozambique,MOZ,233214.0,2242.0,29457535.0,MOZ
Myanmar,MMR,633967.0,19490.0,64549994.0,MMR
Namibia,NAM,171208.0,4090.0,982215.0,NAM
Nauru,NRU,5284.0,1.0,32157.0,NRU
Nepal,NPL,1001172.0,12020.0,60976433.0,NPL
Netherlands,NLD,8604733.0,22992.0,36104942.0,NLD
New Caledonia,NCL,80032.0,314.0,480100.0,NCL
New Zealand,NZL,2186632.0,2560.0,11985710.0,NZL
Nicaragua,NIC,15672.0,245.0,15250610.0,NIC
Niger,NER,9513.0,315.0,7241942.0,NER
Nigeria,NGA,266641.0,3155.0,111985403.0,NGA
Niue,NIU,747.0,0.0,4920.0,NIU
North America,OWID_NAM,122920834.0,1585689.0,1144536234.0,OWID_NAM
North Korea,PRK,0.0,0.0,0.0,PRK
North Macedonia,MKD,347182.0,9664.0,1862732.0,MKD
Northern Cyprus,OWID_CYN,0.0,0.0,861519.0,OWID_CYN
Northern Ireland,OWID_NIR,0.0,0.0,4484330.0,OWID_NIR
Northern Mariana Islands,MNP,13649.0,41.0,0.0,MNP
Norway,NOR,1479746.0,5230.0,12145560.0,NOR
Oceania,OWID_OCE,14054025.0,25338.0,80924981.0,OWID_OCE
Oman,OMN,399449.0,4628.0,7086050.0,OMN
Pakistan,PAK,1577699.0,30645.0,334507258.0,PAK
Palau,PLW,5994.0,9.0,0.0,PLW
Palestine,PSE,703228.0,5708.0,3748571.0,PSE
Panama,PAN,1032237.0,8611.0,8778943.0,PAN
Papua New Guinea,PNG,46826.0,670.0,725729.0,PNG
Paraguay,PRY,735759.0,19880.0,9610340.0,PRY
Peru,PER,4488259.0,219587.0,88183762.0,PER
Philippines,PHL,4078137.0,66226.0,170638379.0,PHL
Pitcairn,PCN,4.0,0.0,117.0,PCN
Poland,POL,6462369.0,119072.0,57928449.0,POL
Portugal,PRT,5571882.0,26302.0,28129150.0,PRT
Puerto Rico,PRI,1102439.0,5831.0,0.0,PRI
Qatar,QAT,495700.0,688.0,7607945.0,QAT
Reunion,REU,494595.0,921.0,0.0,REU
Romania,ROU,3352356.0,67773.0,16827486.0,ROU
Russia,RUS,22454933.0,396696.0,186124620.0,RUS
Rwanda,RWA,133194.0,1468.0,26106436.0,RWA
Saint Barthelemy,BLM,5441.0,5.0,0.0,BLM
Saint Helena,SHN,2166.0,0.0,7892.0,SHN
Saint Kitts and Nevis,KNA,6597.0,46.0,64297.0,KNA
Saint Lucia,LCA,30004.0,409.0,122977.0,LCA
Saint Martin (French part),MAF,12271.0,46.0,0.0,MAF
Saint Pierre and Miquelon,SPM,3418.0,2.0,0.0,SPM
Saint Vincent and the Grenadines,VCT,9589.0,123.0,73374.0,VCT
Samoa,WSM,16427.0,29.0,452831.0,WSM
San Marino,SMR,23663.0,122.0,69338.0,SMR
Sao Tome and Principe,STP,6281.0,77.0,228291.0,STP
Saudi Arabia,SAU,830731.0,9622.0,68454048.0,SAU
Scotland,OWID_SCT,0.0,0.0,13014285.0,OWID_SCT
Senegal,SEN,88933.0,1971.0,2929547.0,SEN
Serbia,SRB,2504113.0,17900.0,8534688.0,SRB
Seychelles,SYC,50937.0,172.0,220018.0,SYC
Sierra Leone,SLE,7760.0,126.0,7009905.0,SLE
Singapore,SGP,2234996.0,1722.0,14727569.0,SGP
Sint Maarten (Dutch part),SXM,11023.0,90.0,67068.0,SXM
Slovakia,SVK,1864353.0,21049.0,5754313.0,SVK
Slovenia,SVN,1334089.0,9164.0,2996643.0,SVN
Solomon Islands,SLB,24575.0,153.0,625956.0,SLB
Somalia,SOM,27324.0,1361.0,8726329.0,SOM
South Africa,ZAF,4068224.0,102595.0,38578896.0,ZAF
South America,OWID_SAM,68018756.0,1351186.0,954433517.0,OWID_SAM
South Korea,KOR,30662229.0,34131.0,129647782.0,KOR
South Sudan,SSD,18368.0,138.0,3193261.0,SSD
Spain,ESP,13778467.0,119618.0,105522606.0,ESP
Sri Lanka,LKA,672047.0,16831.0,40116590.0,LKA
Sudan,SDN,63853.0,5023.0,18495743.0,SDN
Suriname,SUR,82467.0,1404.0,505699.0,SUR
Sweden,SWE,2699339.0,23777.0,25700248.0,SWE
Switzerland,CHE,4394296.0,13960.0,16932268.0,CHE
Syria,SYR,57423.0,3163.0,4971203.0,SYR
Taiwan,TWN,0.0,0.0,67432979.0,TWN
Tajikistan,TJK,17786.0,125.0,18871161.0,TJK
Tanzania,TZA,42927.0,846.0,38911619.0,TZA
Thailand,THA,4728304.0,33924.0,142635014.0,THA
Timor,TLS,23419.0,138.0,2011703.0,TLS
Togo,TGO,39407.0,290.0,3398445.0,TGO
Tokelau,TKL,5.0,0.0,5374.0,TKL
Tonga,TON,16812.0,12.0,202720.0,TON
Trinidad and Tobago,TTO,189918.0,4355.0,1580898.0,TTO
Tunisia,TUN,1151333.0,29345.0,13244621.0,TUN
Turkey,TUR,17004677.0,101419.0,152543341.0,TUR
Turkmenistan,TKM,0.0,0.0,8286809.0,TKM
Turks and Caicos Islands,TCA,6561.0,38.0,73907.0,TCA
Tuvalu,TUV,2779.0,0.0,25591.0,TUV
Uganda,UGA,170463.0,3630.0,26299538.0,UGA
Ukraine,UKR,5427360.0,111457.0,31668577.0,UKR
United Arab Emirates,ARE,1054008.0,2349.0,24922054.0,ARE
United Kingdom,GBR,24423396.0,208458.0,151248820.0,GBR
United States,USA,102417985.0,1113229.0,672537312.0,USA
United States Virgin Islands,VIR,24818.0,130.0,0.0,VIR
Upper middle income,OWID_UMC,242535400.0,2650679.0,5406079996.0,OWID_UMC
Uruguay,URY,1034303.0,7617.0,8951450.0,URY
Uzbekistan,UZB,251430.0,1637.0,74976351.0,UZB
Vanuatu,VUT,12014.0,14.0,366638.0,VUT
Vatican,VAT,26.0,0.0,0.0,VAT
Venezuela,VEN,552210.0,5854.0,37860994.0,VEN
Vietnam,VNM,11527054.0,43186.0,266376204.0,VNM
Wales,OWID_WLS,0.0,0.0,8618742.0,OWID_WLS
Wallis and Futuna,WLF,3427.0,7.0,18058.0,WLF
Western Sahara,ESH,0.0,0.0,0.0,ESH
World,OWID_WRL,760896791.0,6874572.0,13325543421.0,OWID_WRL
Yemen,YEM,11945.0,2159.0,1256288.0,YEM
Zambia,ZMB,343250.0,4057.0,12792112.0,ZMB
Zimbabwe,ZWE,264391.0,5672.0,12222754.0,ZWE
